system,domain,D_observed,D_midpoint,T_calendar_yr,transmission_rate_per_yr,T_events,F15_verdict,T_midpoint_numeric,notes,evidence_mode,computational_role,D_evidence_mode,D_source_id,T_derivation_note,T_evidence_mode,F15_verdict_basis
Natural language morpheme families,LANG,4-5,4.5,7000,1e9,7e12,Tmarg,7e12,Massive parallelism; sequential dependency contested,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Legal precedent chains,LANG,10-15,12.5,225,6e6,1.4e9,Tmarg,1.4e9,Fowler & Jeon 2008; deep but structured search,curated_synthesis,executable_input,curated_synthesis,fowler2008,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Mathematical notation,LANG,7,7.0,3500,3.6e6,1e9,Tmarg,1e9,Marginal at formal proof level D=15-25,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Musical composition forms,LANG,5-6,5.5,500,1e5,1e8,Tmarg,1e8,Lerdahl & Jackendoff 1983,curated_synthesis,executable_input,curated_synthesis,lerdahl1983,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Proverb families,LANG,1-2,1.5,5000,1e8,1e12,T2ok,1e12,Paradigmatic T2ok control,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,analogy
Linux kernel (module nesting),COMP,6-10,8.0,35,75000,2.5e6,Tmarg,2.5e6,Module nesting is gene-family analog; call graph is NOT,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Chess opening trees (branching),COMP,8-12,10.0,500,1e6,1e10,Tmarg,1e10,Blasius & Tonjes 2009,curated_synthesis,executable_input,curated_synthesis,blasius2009,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Programming language families,COMP,5-8,6.5,69,200,1e4,Tmarg,1e4,Lateral influences complicate strict genealogy,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Compiler IR hierarchies,COMP,6-11,8.5,50,30000,1e6,Tmarg,1e6,Rust: 7 pipeline stages; LLVM adds 4 more,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Regular expressions,COMP,2-3,2.5,70,1e8,1e10,T2ok,1e10,Chomsky Type 3; non-recursive,curated_synthesis,executable_input,curated_synthesis,,T_events = T_calendar_yr * transmission_rate_per_yr (study derivation from literature-sourced rate),modeling_input,computation
Finite automata,COMP,1,1.0,70,NA,NA,Tna,NA,flat,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
Patent citation genealogy,ECON,5-6,5.5,230,NA,1e7,Tmarg,1e7,USPTO diameter 22; cultural evolution,curated_synthesis,executable_input,curated_synthesis,,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,computation
Corporate hierarchies,ECON,10,10.0,NA,NA,NA,Tna,NA,Designed not evolved; Ewens & Giroud 2025,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
Baby name families,ECON,1-2,1.5,200,NA,NA,T2ok,NA,Flat; Hahn & Bentley 2003,curated_synthesis,executable_input,curated_synthesis,hahn2003,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,analogy
Dog breed lineages,ECON,2-3,2.5,200,NA,NA,T2ok,NA,Artificial selection; Parker et al. 2017,curated_synthesis,executable_input,curated_synthesis,parker2017,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,analogy
Income/wealth,ECON,NA,NA,NA,NA,NA,Tna,NA,no hierarchy,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
Stock returns,ECON,NA,NA,NA,NA,NA,Tna,NA,no hierarchy,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
City sizes,ECON,NA,NA,NA,NA,NA,Tna,NA,Gibrat mechanism,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
PPI module hierarchy,INFO,4-6,5.0,3000000000,NA,1e12,T3req_bio,1e12,Evolutionary (germline); Ravasz et al. 2002,curated_synthesis,executable_input,curated_synthesis,ravasz2002,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,computation
WWW site nesting,INFO,3-5,4.0,35,1e6,1e7,Tna,1e7,Constructed not evolved,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
Scientific citation genealogy,INFO,3-5,4.0,350,NA,NA,Tmarg,NA,Weakly evolutionary; cultural,curated_synthesis,executable_input,curated_synthesis,,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,computation
Internet AS topology,INFO,2-3,2.5,30,NA,NA,Tna,NA,Constructed; Faloutsos et al. 1999,curated_synthesis,executable_input,curated_synthesis,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
Brain cortical hierarchy (GENE-FAMILY BASIS),NEUR,5-7,6.0,300000000,NA,1e9,T3req_bio,1e9,TF superfamilies encoding cortical specification,curated_synthesis,executable_input,direct_extract,,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,computation
Neural cell type diversity,NEUR,4,4.0,500000000,NA,1e9,T3req_bio,1e9,Allen Brain Cell Atlas; Yao et al. 2023,curated_synthesis,executable_input,direct_extract,yao2023,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,computation
Memory schemas,NEUR,4-6,5.0,0.07,NA,NA,Tmarg,NA,Within-lifetime; constructed,curated_synthesis,executable_input,direct_extract,,T_events estimated from calendar age and domain transmission rate; study derivation,modeling_input,analogy
Neuronal avalanches,NEUR,NA,NA,NA,NA,NA,Tna,NA,dynamics not hierarchy,curated_synthesis,executable_input,direct_extract,,T not computed; system lacks hierarchical structure (F1-F4 fail),not_applicable,not_applicable
